iter	Logloss
0	0.6852447757
1	0.6777928237
2	0.6721215998
3	0.6643121216
4	0.6565144827
5	0.6504837357
6	0.6457890574
7	0.6435357953
8	0.640953842
9	0.6376444203
10	0.6341845063
11	0.6296328853
12	0.6269885406
13	0.6235458324
14	0.6216470155
15	0.618520574
16	0.6166279919
17	0.6144074458
18	0.6119062584
19	0.6096860484
20	0.6071189229
21	0.6053714373
22	0.6034110742
23	0.6015283491
24	0.5996260907
25	0.5979461074
26	0.594743098
27	0.5925030447
28	0.5905435332
29	0.5887728712
30	0.585604207
31	0.5833164103
32	0.5811512916
33	0.5785206437
34	0.5766838882
35	0.5743539203
36	0.5718511239
37	0.5709998519
38	0.5684842129
39	0.5655095558
40	0.562831596
41	0.5617786303
42	0.5591910998
43	0.5585583475
44	0.5564296268
45	0.5548126674
46	0.5534568026
47	0.5521255525
48	0.5512158879
49	0.5482364322
50	0.5473926683
51	0.5434958277
52	0.5385408801
53	0.5371810287
54	0.5354347914
55	0.5351479621
56	0.5335859735
57	0.532401438
58	0.5312568562
59	0.530672836
60	0.5295873058
61	0.5288215468
62	0.5276344817
63	0.5271017364
64	0.5267488359
65	0.5252800042
66	0.5222179264
67	0.5206152198
68	0.5195596245
69	0.5184708979
70	0.517109965
71	0.5160987731
72	0.5158826533
73	0.5147755925
74	0.5128391611
75	0.5120101107
76	0.5108841221
77	0.5101659183
78	0.5092867683
79	0.5086743817
80	0.5082044796
81	0.5069363659
82	0.5061788859
83	0.5055814023
84	0.5044081559
85	0.5024935661
86	0.5017907962
87	0.4994902971
88	0.4983561559
89	0.4970640349
90	0.4948294
91	0.4947910248
92	0.4944836152
93	0.4938661498
94	0.4934332397
95	0.4916067708
96	0.4903367872
97	0.49004959
98	0.489500991
99	0.4882167483
100	0.4872574608
101	0.4866652751
102	0.4857709452
103	0.4831627523
104	0.4821159701
105	0.4811180621
106	0.4802683066
107	0.4778987227
108	0.4772323582
109	0.4760171695
110	0.4752747927
111	0.4737710787
112	0.4720984175
113	0.4703775586
114	0.4696082125
115	0.4684199061
116	0.467213951
117	0.4669141795
118	0.4663434012
119	0.4654061841
120	0.4643413597
121	0.4643318618
122	0.4633173899
123	0.4626251196
124	0.4612063329
125	0.4602079397
126	0.459853053
127	0.4587567465
128	0.4567777795
129	0.4560379979
130	0.4547825739
131	0.4539157196
132	0.4518573771
133	0.450499208
134	0.4489197709
135	0.4478942419
136	0.446883978
137	0.4462046568
138	0.4460126859
139	0.445039182
140	0.443550676
141	0.4423220089
142	0.442320748
143	0.4414988891
144	0.4397850026
145	0.437858293
146	0.4370044662
147	0.4352243087
148	0.4329940345
149	0.431849506
150	0.4298744142
151	0.4280105293
152	0.4263146705
153	0.4242031373
154	0.4233627107
155	0.4224532344
156	0.4214211926
157	0.4202130445
158	0.4193549692
159	0.4177451149
160	0.4169298233
161	0.4154861125
162	0.4151435745
163	0.4140305127
164	0.4129368014
165	0.412585501
166	0.4111916979
167	0.4106036861
168	0.4090427481
169	0.4080081252
170	0.4065311458
171	0.4046056513
172	0.4028004153
173	0.4016338301
174	0.4008789275
175	0.3995595136
176	0.3990765064
177	0.3985605935
178	0.3974016247
179	0.3959752593
180	0.3945272975
181	0.3937648853
182	0.3928303014
183	0.3921035535
184	0.3908302489
185	0.390460738
186	0.3892385613
187	0.3877580269
188	0.3864367735
189	0.3858551656
190	0.3849964278
191	0.3838607816
192	0.3824090999
193	0.3817050387
194	0.3810178112
195	0.3800876143
196	0.3788791992
197	0.3783756026
198	0.37709881
199	0.376727091
200	0.3757160255
201	0.3749794468
202	0.3733659751
203	0.3727753908
204	0.3718930287
205	0.3714235136
206	0.370423828
207	0.3701829594
208	0.3689398933
209	0.3676574509
210	0.3672984968
211	0.3668219622
212	0.3660808931
213	0.3650586196
214	0.3644316259
215	0.3636774121
216	0.3618857355
217	0.3608572769
218	0.3590984107
219	0.3582606338
220	0.3565626901
221	0.3558689176
222	0.3548762314
223	0.3541632346
224	0.3532903704
225	0.3523717281
226	0.3512817516
227	0.3500360242
228	0.3486810661
229	0.3479600135
230	0.3462934923
231	0.3456190503
232	0.345085767
233	0.3443297223
234	0.3432302002
235	0.3417324792
236	0.3405569689
237	0.339981743
238	0.3393252434
239	0.3388377255
240	0.3385336465
241	0.3372673243
242	0.336336187
243	0.3359281588
244	0.3350073904
245	0.3341156203
246	0.3329778935
247	0.3321236692
248	0.330633766
249	0.3299997713
250	0.3289072446
251	0.3285649926
252	0.3277952384
253	0.3269608655
254	0.3259738955
255	0.3253006154
256	0.3247587728
257	0.3242885593
258	0.3235775585
259	0.3233265755
260	0.3226028186
261	0.3219941377
262	0.3210810536
263	0.3203006879
264	0.3194660958
265	0.3184714928
266	0.3179382508
267	0.3160914826
268	0.3155885438
269	0.3142144733
270	0.3139402438
271	0.3132034227
272	0.3120342798
273	0.3115304255
274	0.3104039129
275	0.3100171133
276	0.3094622445
277	0.3092431007
278	0.3077865326
279	0.3068349428
280	0.306181601
281	0.3051865539
282	0.3039473661
283	0.3036753007
284	0.3027977849
285	0.3017351829
286	0.3008237624
287	0.3003346823
288	0.2990592956
289	0.2981488249
290	0.2971730744
291	0.2966405868
292	0.2955099301
293	0.294747703
294	0.294106869
295	0.2934446919
296	0.2932751991
297	0.2930824061
298	0.2921806383
299	0.2913765432
